Image Name,Width,Height,Aspect Ratio
img_001232.jpg,115,41,2.8048780487804876
img_001782.jpg,129,50,2.58
img_012184.jpg,131,42,3.119047619047619
img_000868.jpg,156,56,2.7857142857142856
img_001846.jpg,130,49,2.6530612244897958
img_010358.jpg,113,42,2.6904761904761907
img_013020.jpg,134,46,2.9130434782608696
img_012697.jpg,189,70,2.7
img_012399.jpg,132,47,2.8085106382978724
img_004527.jpg,133,48,2.7708333333333335
img_002907.jpg,128,46,2.782608695652174
img_013943.jpg,140,50,2.8
img_004700.jpg,133,49,2.7142857142857144
img_003863.jpg,131,47,2.7872340425531914
img_001700.jpg,131,49,2.673469387755102
img_004957.jpg,126,47,2.6808510638297873
img_003386.jpg,134,48,2.7916666666666665
img_004449.jpg,138,51,2.7058823529411766
img_013148.jpg,132,45,2.933333333333333
img_000760.jpg,131,47,2.7872340425531914
img_001141.jpg,113,41,2.7560975609756095
img_003808.jpg,97,35,2.7714285714285714
img_001195.jpg,120,43,2.7906976744186047
img_001623.jpg,132,48,2.75
img_000641.jpg,132,48,2.75
img_000326.jpg,132,49,2.693877551020408
img_000422.jpg,130,47,2.765957446808511
img_010472.jpg,81,29,2.793103448275862
img_014581.jpg,135,48,2.8125
img_011650.jpg,138,51,2.7058823529411766
img_013090.jpg,129,46,2.8043478260869565
img_011795.jpg,130,43,3.0232558139534884
img_004898.jpg,119,43,2.7674418604651163
img_013532.jpg,137,49,2.795918367346939
img_013600.jpg,131,45,2.911111111111111
img_011358.jpg,140,47,2.978723404255319
img_004107.jpg,141,48,2.9375
img_012600.jpg,140,50,2.8
img_000926.jpg,136,49,2.7755102040816326
img_000779.jpg,134,49,2.7346938775510203
img_002220.jpg,93,35,2.657142857142857
img_014454.jpg,136,46,2.9565217391304346
img_014501.jpg,133,48,2.7708333333333335
img_014272.jpg,136,47,2.893617021276596
img_000446.jpg,120,42,2.857142857142857
img_002084.jpg,134,49,2.7346938775510203
img_010564.jpg,82,29,2.8275862068965516
img_011978.jpg,125,44,2.840909090909091
img_000283.jpg,116,43,2.697674418604651
img_001008.jpg,129,46,2.8043478260869565
img_011899.jpg,103,39,2.641025641025641
img_002561.jpg,126,47,2.6808510638297873
img_014507.jpg,135,50,2.7
img_011492.jpg,135,47,2.872340425531915
img_002002.jpg,129,45,2.8666666666666667
img_003329.jpg,130,46,2.8260869565217392
img_002222.jpg,105,38,2.763157894736842
img_011986.jpg,136,48,2.8333333333333335
img_001716.jpg,108,41,2.6341463414634148
img_004066.jpg,135,49,2.7551020408163267
img_013679.jpg,131,48,2.7291666666666665
img_014991.jpg,76,28,2.7142857142857144
img_014546.jpg,134,46,2.9130434782608696
img_002566.jpg,133,46,2.891304347826087
img_011675.jpg,132,49,2.693877551020408
img_013137.jpg,126,43,2.9302325581395348
img_001891.jpg,128,44,2.909090909090909
img_012197.jpg,131,47,2.7872340425531914
img_001133.jpg,104,38,2.736842105263158
